"","AGE","AVPREARN","BENEPAID","BENPDBYE","BENYRBEG","BLACK","BONELIGB","CLAIMDT","CONTROL","DEPALLOW","ELIG2","EXSTBEN1","EXSTBENY","HIE","HISPANIC","JSIE","L1QWAGES","L2QWAGES","L3QWAGES","L4QWAGES","LAGREE","MALE","MBASR","NATVAMER","NOHSUB","NOHSUB1","OTHERACE","POSPEARN","POSQEARN","PREPEARN","REFILEDT","REFILEIN","REHIRE11","REHIREDT","REHIREIN","RHIREARN","SRBEN1","SRBENYR","VCHPAID","WGETOT1","WGETOT2","WGETOT3","WGETOT4","WGETOT5","WGETOT6","WHITE","WKBENEFT","WKPAID","WKSPDBYE"
"3724",31,2964,956,956,8990,0,1,8990,0,0,1,0,0,0,0,1,2783,3302,3182,2589,1,0,3120,0,1,1,0,1632,2265,3247,NA,0,1,9055,1,1,956,956,0,3247,3146,1632,2265,2260,2369,1,120,8,8
"3725",31,4106,1413,1413,8976,0,1,8976,1,0,1,0,0,0,0,0,4225,4275,4025,3900,NA,0,4082,0,0,0,0,4269,4269,4225,NA,0,1,9047,1,1,1413,1413,0,4225,2600,4269,4625,4269,4981,1,157,9,9
"3726",29,754,0,0,9053,0,1,9053,0,0,1,0,0,1,0,0,803,708,765,741,1,1,1326,0,0,0,0,518,518,353,NA,0,1,9060,1,1,0,0,0,803,353,571,518,824,824,1,51,0,0
"3727",25,1972,0,1568,9060,0,0,9060,0,0,1,0,0,1,0,0,0,2900,3139,1850,0,0,2912,0,0,0,0,1832,1832,4156,9123,1,1,9070,1,1,0,1568,0,2900,4156,4070,1832,3595,1521,1,112,0,14
"3728",31,1762,2891,3145,9067,0,0,9067,1,30,1,0,0,0,0,0,1157,645,3413,1834,NA,1,3302,0,0,0,0,344,3910,2714,9298,1,0,9252,1,0,2891,3145,0,1157,2714,1665,344,2743,3910,1,97,23,25
"3729",40,2505,720,720,8990,0,1,8990,1,0,1,0,0,0,1,0,0,4118,3673,2229,NA,1,3744,0,0,0,0,3922,3922,3621,NA,0,1,9034,1,1,720,720,0,3621,1656,3922,3813,4272,4010,0,144,5,5
"3730",43,7834,209,1463,9025,0,1,9025,0,48,1,0,0,0,0,1,10139,9661,3364,8172,0,1,5434,0,0,0,0,1990,1990,10375,9277,1,1,9053,1,1,209,1463,0,10375,269,1990,1867,3264,4109,1,161,1,7
"3731",32,914,0,0,9040,0,1,9039,1,20,1,0,0,0,1,0,0,2296,1152,209,NA,1,2184,0,0,0,0,1763,1763,2296,NA,0,1,9047,1,1,0,0,0,2296,1206,1763,547,2687,2801,0,64,0,0
"3732",30,2341,4598,4598,8990,0,0,8990,1,28,1,1,1,0,0,0,2276,2563,2459,2064,NA,1,3146,0,0,0,0,0,0,2762,NA,0,0,NA,0,0,3146,3146,0,2762,897,0,0,0,0,1,93,38,38
"3733",29,489,255,765,9046,0,0,9046,0,0,1,0,0,1,0,0,0,0,1060,896,0,1,1326,0,0,0,0,1056,1056,0,9116,1,1,9089,1,1,255,765,0,0,0,696,1056,192,2184,1,51,5,15
"3734",32,2405,3420,3420,8983,0,0,8983,0,0,1,1,1,1,0,0,2405,2405,2442,2368,1,0,2340,0,0,0,0,0,0,2405,NA,0,0,NA,0,0,2340,2340,0,2405,0,0,0,0,0,1,90,38,38
"3735",30,3039,3375,3375,8990,1,0,8990,1,0,1,1,1,0,0,0,3396,2717,3328,2717,NA,0,3250,0,0,0,0,3121,2265,3023,NA,0,0,NA,0,0,3250,3250,0,3023,213,3121,0,2265,1211,0,125,27,27
"3736",30,1097,0,0,8990,1,1,8990,0,20,1,0,0,0,0,1,0,2528,829,1033,1,1,2236,0,0,0,0,2103,2103,2237,NA,0,1,8997,1,1,0,0,0,2237,2731,2103,2722,3466,3146,0,66,0,0
"3737",29,959,576,576,8978,0,1,8976,0,0,1,0,0,1,0,0,0,0,2368,1470,1,1,1872,0,0,0,0,1340,1340,2479,NA,0,1,9040,1,1,576,576,0,2479,0,1340,0,5570,5890,1,72,8,8
"3738",30,2321,3380,3380,9081,0,0,9081,1,0,1,1,1,0,0,0,0,3231,3769,2282,NA,0,3380,0,0,0,0,0,0,0,NA,0,0,NA,0,0,3380,3380,0,2046,0,0,0,0,0,1,130,26,26
"3739",28,2383,267,267,8983,0,1,8983,0,0,1,0,0,1,0,0,2365,2440,2365,2365,1,1,2314,0,0,0,0,2579,2579,2365,NA,0,1,9014,1,1,267,267,0,2365,1779,2579,2554,3001,2877,1,89,3,3
"3740",27,3450,635,635,9081,0,1,9081,1,0,1,0,0,0,0,0,1831,3900,3800,4268,NA,1,3926,0,0,0,0,3097,3097,5051,NA,0,1,9139,1,1,635,635,0,1831,5051,2800,3097,2687,2801,1,151,5,5
"3741",30,1381,0,0,8976,0,1,8976,1,0,1,0,0,0,0,0,0,0,3177,2346,NA,1,2652,0,0,0,0,513,513,2750,NA,0,1,8983,1,1,0,0,0,2750,1001,513,0,0,0,1,102,0,0
"3742",27,4349,161,161,9011,0,0,9011,1,0,1,0,0,0,0,0,5669,1733,5564,4429,NA,1,4186,0,0,0,0,0,0,4412,NA,0,1,9026,1,0,161,161,0,4412,4609,0,0,0,0,1,161,1,1
"3743",29,3449,3350,3350,9060,1,0,9060,1,0,1,0,0,0,0,0,3216,3514,3747,3319,NA,0,3484,0,0,0,0,2716,4924,1833,NA,0,0,9244,1,0,3350,3350,0,3216,1833,0,0,2716,4924,0,134,25,25
"3744",27,5094,6694,6694,9011,1,0,9011,1,0,1,1,1,0,0,0,4714,5902,4988,4773,NA,0,4186,0,0,0,0,1323,2162,5601,9200,1,0,NA,0,0,4186,4186,0,5601,4284,1323,0,1435,2162,0,161,38,38
"3745",28,3450,7372,7372,8976,1,0,8976,0,45,1,1,1,0,0,1,4125,3332,3912,2430,1,0,5044,0,0,0,0,358,0,3676,NA,0,0,NA,0,0,5044,5044,0,3676,2665,358,0,0,0,0,149,38,38
"3746",30,5155,2299,3344,9041,0,0,9039,1,48,1,0,0,0,1,0,5690,5167,4607,5157,NA,1,5434,0,0,0,0,1647,6943,5690,9340,1,0,9123,1,0,2299,3344,0,5690,4005,1647,6943,8063,5673,0,161,11,16
"3747",31,3271,0,0,8997,1,0,9009,0,39,1,0,0,0,0,1,3110,3085,3882,3004,1,0,4394,0,0,0,0,NA,NA,NA,NA,0,1,9016,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,130,0,0
"3748",28,4013,1045,1045,9067,0,1,9067,0,48,1,0,0,0,0,1,5248,4675,4750,1376,1,1,5434,0,1,1,0,5719,5719,4899,NA,0,1,9110,1,1,1045,1045,1,5248,4899,2988,5719,0,6812,1,161,5,5
"3749",29,2733,1661,1661,9039,1,0,9039,0,35,1,0,0,1,0,0,3206,1832,2856,3040,0,0,3926,0,0,0,0,2174,3550,2755,9403,1,0,9419,1,0,1661,1661,0,2755,0,2174,3550,3040,3528,0,116,11,11
"3750",29,1982,3646,3646,8983,1,0,8983,1,32,1,1,1,0,0,0,0,2841,2896,2189,NA,0,3614,0,0,0,0,0,0,2509,9186,1,0,NA,0,0,3614,3614,0,2509,734,0,0,0,0,0,107,27,27
"3751",24,2253,273,273,8976,0,1,8976,0,0,1,0,0,0,1,1,2049,2521,2389,2054,1,1,2366,0,0,0,0,2213,2213,2458,NA,0,1,9006,1,1,273,273,0,2458,763,2213,2858,2963,0,0,91,3,3
"3752",29,3758,0,0,9046,0,0,9046,1,44,1,0,0,0,1,0,3859,3356,3872,3946,NA,0,4914,0,0,0,0,2700,2700,3162,9382,1,1,9134,1,0,0,0,0,3859,3162,1898,2700,3900,3300,0,145,0,0
"3753",30,4132,3220,3220,9011,1,0,9011,0,0,1,0,0,0,0,1,0,5598,5532,5400,1,0,4186,0,0,0,0,3317,5750,5762,NA,0,0,9173,1,0,3220,3220,0,5762,4271,0,3317,5750,5750,0,161,20,20
"3754",28,2313,6118,6118,8983,1,0,8983,1,0,1,1,1,0,0,0,0,0,5884,3367,NA,1,4186,0,0,0,0,0,0,5615,NA,0,0,NA,0,0,4186,4186,0,5615,549,0,0,0,0,0,161,38,38
"3755",28,630,1950,1950,8976,1,0,8976,0,14,1,1,1,0,0,1,0,0,1649,873,1,1,1690,0,0,0,0,92,0,5232,NA,0,0,NA,0,0,1690,1690,0,5232,0,92,0,0,0,0,51,30,30
"3756",29,3927,3344,3344,9039,0,0,9039,1,48,1,0,0,0,0,0,5170,4654,1375,4508,NA,1,5434,0,0,0,0,82,5150,6146,NA,0,0,9159,1,0,3344,3344,0,6146,4871,82,3232,5150,6099,1,161,16,16
"3757",29,2831,2507,2507,8990,0,0,8990,0,0,1,0,0,1,0,0,2900,2964,2628,2832,NA,0,2834,0,0,0,0,45,0,2872,NA,0,0,9160,1,0,2507,2507,0,2872,1172,0,45,0,2494,1,109,23,23
"3758",28,7240,483,1610,9060,0,0,9060,0,0,1,0,0,0,0,1,7500,7500,7500,6458,1,0,4186,0,0,0,0,2121,2121,7500,9151,1,1,9089,1,1,483,1610,0,7500,7500,2308,2121,8638,8640,1,161,3,10
"3759",24,2757,1368,3016,9018,0,0,9018,0,35,1,0,0,1,0,0,1965,3292,2737,3036,1,0,3952,0,0,0,0,1370,713,1720,9158,1,1,9089,1,1,1368,3016,0,1720,2323,1370,713,0,2896,1,117,9,20
"3760",29,3545,4184,4184,9004,0,0,9004,1,0,1,1,1,0,0,0,3900,3870,3131,3281,NA,0,3744,0,0,0,0,0,0,3900,9160,1,0,NA,0,0,3744,3744,0,3900,0,0,0,0,0,1,144,27,27
"3761",29,4735,4186,4186,9081,0,0,9081,0,0,1,1,1,1,0,0,4881,6121,3723,4216,1,1,4186,0,0,0,1,0,0,5695,NA,0,0,NA,0,0,4186,4186,0,4881,5695,3213,0,0,0,0,161,26,26
"3762",27,3009,0,854,9025,0,0,9025,0,0,1,0,0,0,0,1,3352,2389,3080,3216,1,0,3172,0,0,0,0,1952,1952,3564,9039,1,1,9033,1,1,0,854,0,3564,1848,1952,2375,1786,0,1,122,0,7
"3763",26,4457,1881,1881,9060,0,1,9060,0,48,1,0,0,1,0,0,4254,4182,4930,4461,0,1,5434,0,0,0,0,3393,3393,5521,NA,0,1,9132,1,1,1881,1881,0,4254,5521,3013,3393,4296,4630,1,161,9,9
"3764",27,2160,4602,4602,9011,0,0,9011,1,41,1,1,1,0,0,0,3952,3397,1232,58,NA,1,4602,0,0,0,0,1375,4325,3318,9382,1,0,NA,0,0,4602,4602,0,3318,2579,0,1375,4325,4317,1,136,26,26
"3765",27,3533,3060,3060,9039,1,0,9039,1,42,1,0,0,0,0,0,3806,3637,3235,3454,NA,0,4680,0,0,0,0,0,0,0,NA,0,0,9167,1,0,3060,3060,0,0,152,0,0,0,0,0,138,17,17
"3766",38,4669,0,209,9025,0,1,9025,0,48,1,0,0,0,0,1,5664,5314,4063,3633,1,1,5434,0,1,1,1,5169,5169,6255,9340,1,1,9026,1,1,0,209,1,6255,5010,5169,6062,5303,5186,0,161,0,1
"3767",28,2239,3354,3354,9018,0,0,9018,1,30,1,1,1,0,1,0,2445,2920,2147,1444,NA,0,3354,0,0,0,0,12,1388,2529,NA,0,0,NA,0,0,3354,3354,0,2529,2380,12,1626,1388,2854,0,99,26,26
"3768",27,2661,5304,5304,9039,0,0,9039,0,47,1,1,1,0,0,1,2009,169,5038,3429,1,1,5304,0,0,0,0,27,254,2668,NA,0,0,NA,0,0,5304,5304,0,2668,2708,27,0,254,2608,1,157,26,26
"3769",40,3728,0,3462,9011,0,0,9011,0,45,1,0,0,1,0,0,3420,3934,3454,4104,0,0,5044,0,0,0,1,2044,2044,4051,9025,1,1,9013,1,1,0,3462,0,4051,3353,2044,1809,3738,4025,0,149,0,26
"3770",49,5468,253,253,8976,0,1,8976,0,0,1,0,0,0,0,1,5167,4929,5765,6011,NA,1,4186,0,0,0,0,4794,4794,5473,NA,0,1,8994,1,1,253,253,0,5473,1522,4794,4529,3584,3694,1,161,2,2
"3771",26,2194,2184,2184,9046,0,0,9046,0,0,1,1,1,0,0,1,2268,2091,2291,2124,1,0,2184,0,0,0,0,0,0,2518,NA,0,0,NA,0,0,2184,2184,0,2268,2518,0,0,0,0,1,84,26,26
