"","AGE","AVPREARN","BONELIGB","CLAIMDT","DEPALLOW","ELIG2","L1QWAGES","L2QWAGES","L3QWAGES","L4QWAGES","MALE","MBASR","NOHSUB","NOHSUB1","POSPEARN","POSQEARN","PREPEARN","SRBEN1","SRBENYR","WGETOT1","WGETOT2","WGETOT3","WGETOT4","WGETOT5","WGETOT6","Z_HIE","Z_JSIE","A_HIE","A_JSIE","time_r","status_r","RACE"
"10595",47,861,0,8983,0,1,0,1404,1000,1038,1,1326,0,0,3303,2626,1949,663,663,1949,1310,3303,2626,3766,961,0,0,0,0,100,1,"White"
"10596",48,4098,0,9067,0,1,4151,4107,4093,4041,1,3978,0,0,0,0,4202,3978,3978,4151,4202,3685,0,0,0,0,1,0,0,182,0,"Black"
"10597",46,6399,1,9074,48,1,7264,7286,5747,5297,1,5434,0,0,7220,7220,7303,836,836,7264,7303,4938,7220,9339,6540,1,0,0,0,37,1,"White"
"10598",43,7643,0,8997,48,1,5200,9449,7804,8119,1,5434,0,0,7998,8265,6570,4598,4598,6570,2465,0,7998,8265,7998,1,0,0,0,182,0,"White"
"10599",44,6824,0,9046,48,1,12028,5618,1411,8239,1,5434,0,0,5372,5372,8041,1672,2717,12028,8041,1472,5372,9601,8092,0,0,0,0,64,1,"White"
"10600",42,893,1,8983,0,1,0,0,448,3124,1,1716,0,0,38,38,0,198,198,0,651,38,0,0,0,1,0,0,0,44,1,"White"
"10601",34,3559,1,9053,47,1,4123,4270,2813,3031,0,5278,1,1,4550,4550,4268,0,0,4123,4268,2870,4550,5800,4550,0,1,0,1,1,1,"White"
"10602",51,2475,0,9018,36,1,3295,3094,1869,1641,0,4030,0,0,972,972,3458,4030,4030,3458,2423,0,0,0,972,0,1,0,1,182,0,"White"
"10603",34,1804,0,9018,38,1,0,3874,2949,394,0,4264,0,0,2668,0,3428,4264,4264,3428,98,0,0,0,2668,1,0,1,0,182,0,"White"
"10604",33,4010,0,8997,0,1,3120,3706,4174,5039,0,4186,0,0,0,0,2967,4186,4186,2967,2034,0,0,0,0,1,0,1,0,182,0,"White"
"10605",30,5771,0,9081,0,1,4915,5735,6882,5551,0,4186,0,0,1667,1667,4178,4186,4186,4915,4178,12473,0,0,1667,1,0,0,0,182,0,"White"
"10606",27,2705,0,9018,0,1,2718,2806,2575,2723,1,2678,0,0,1628,1628,3082,2678,2678,3082,2978,0,0,1628,750,0,0,0,0,182,0,"Black"
"10607",25,3193,0,8976,37,1,3178,3379,3139,3077,0,4108,0,0,5732,3900,3437,1896,1896,3437,2570,5732,3900,4251,4500,0,0,0,0,92,1,"Black"
"10608",52,1251,0,9039,0,1,0,2108,1952,943,0,1950,0,0,2490,0,1906,75,975,1906,3182,2490,0,0,0,0,0,0,0,18,1,"White"
"10609",49,2272,0,9060,48,1,0,4410,4217,459,0,5408,0,0,1334,1366,6423,5408,5408,4410,6423,2654,0,1334,1366,0,0,0,0,182,0,"Black"
"10610",47,3301,0,8990,47,1,3988,4299,899,4020,1,5226,0,0,362,3136,1597,5226,5226,1597,1981,0,362,1741,3136,0,0,0,0,182,0,"NativeAmerican"
"10611",45,2251,0,8976,31,1,2816,2716,1388,2084,0,3484,0,0,2823,2823,1991,402,624,1991,1619,2823,2944,2274,1043,0,0,0,0,28,1,"White"
"10612",40,2920,0,8997,47,1,5654,2826,2419,782,1,5304,0,0,1084,5603,6546,3060,3468,6546,4258,1084,5603,6549,5127,0,0,0,0,113,1,"Black"
"10613",37,2290,0,8997,28,1,2695,2240,2240,1984,0,3120,0,0,0,0,2266,3120,3120,2266,1540,0,0,0,0,0,0,0,0,182,0,"Black"
"10614",38,2449,0,9018,31,1,2147,2139,3312,2199,1,3458,0,0,2421,4335,1965,654,654,1965,0,2421,4335,3854,3694,0,1,0,0,114,1,"Black"
"10615",38,1216,0,8983,0,1,0,0,3032,1830,0,2340,0,0,1018,2536,2382,1238,1238,2382,1660,1018,2536,2482,2626,0,0,0,0,102,1,"White"
"10616",36,7134,0,9032,48,1,8399,6471,7072,6593,1,5434,0,0,152,0,6680,5434,5434,6680,2789,0,0,152,0,0,0,0,0,182,0,"Black"
"10617",32,1130,0,8990,26,1,0,0,2154,2367,1,2860,0,0,2543,3525,2414,2860,2860,2414,1082,2543,3279,3525,1137,0,0,0,0,182,0,"Black"
"10618",33,1903,0,9039,0,1,0,3993,3425,196,1,3562,0,0,100,0,1466,3562,3562,1466,425,100,56,0,0,0,0,0,0,182,0,"Black"
"10619",30,2831,0,9025,33,1,2887,2873,3000,2564,0,3692,0,0,0,0,3485,0,0,3485,239,0,0,0,0,1,0,0,0,2,1,"White"
"10620",32,4118,0,9018,48,1,3683,4526,4460,3802,1,5434,0,0,2979,2979,4157,5434,5434,4157,2230,0,0,2979,3255,1,0,1,0,182,0,"White"
"10621",26,2437,0,9025,0,1,2823,3028,1767,2129,0,2808,0,0,0,0,2191,1752,1752,2191,2851,0,0,0,0,0,1,0,0,128,1,"Black"
"10622",24,4299,0,9004,0,1,4256,4462,4748,3729,1,4186,0,0,0,0,5212,4186,4186,5212,2383,0,0,0,0,0,1,0,1,182,0,"Black"
"10623",23,1968,0,9004,0,1,0,3270,3412,1189,1,3224,0,0,3010,3010,3198,3224,3224,3198,2043,0,0,0,3010,0,0,0,0,182,0,"Black"
"10624",52,2500,0,9004,28,1,2500,2500,2500,2500,1,3146,0,0,2500,0,0,2904,2904,0,0,0,2500,0,0,1,0,0,0,178,1,"Black"
"10625",50,968,0,9081,0,1,258,676,560,2381,1,1482,0,0,550,72,0,1482,1482,258,0,0,0,550,72,0,1,0,1,182,0,"Black"
"10626",52,3526,0,9025,0,1,3722,3537,3688,3158,0,3562,0,0,402,4103,3204,1918,1918,3204,3506,402,4103,3640,4362,0,1,0,1,121,1,"Black"
"10627",43,5089,0,9081,0,1,4969,4793,5432,5160,1,4186,0,0,0,0,5543,4186,4186,4969,5543,3306,0,0,0,0,1,0,1,182,0,"Black"
"10628",40,8898,0,8990,48,1,4969,1498,25406,3720,1,5434,0,0,3593,2795,7265,5434,5434,7265,5712,3593,4809,2795,9365,1,0,0,0,182,0,"Black"
"10629",44,421,0,9039,10,1,0,0,976,706,0,1586,0,0,0,0,976,1586,1586,976,0,0,0,0,0,0,0,0,0,182,0,"Black"
"10630",37,4908,0,9039,48,1,4984,4883,4883,4883,0,5434,0,0,3953,0,5187,5434,5434,5187,5187,3953,0,0,0,0,1,0,1,182,0,"Black"
"10631",32,3807,0,9011,0,1,5882,5403,2931,1013,1,4186,0,0,480,502,5205,3220,4186,5205,4689,480,5679,502,3447,0,0,0,0,147,1,"Black"
"10632",35,8805,0,9039,0,1,13514,7694,6526,7485,0,4186,0,0,1571,0,12552,4186,4186,12552,6803,1571,0,0,0,0,0,0,0,182,0,"Black"
"10633",33,4256,0,8990,0,1,2600,4875,4875,4675,1,4186,0,0,1414,2212,3600,1771,1771,3600,2400,1414,2212,3019,3500,0,0,0,0,86,1,"White"
"10634",22,1945,1,9067,0,1,2163,1977,1965,1676,1,2002,0,0,1875,1875,2096,154,154,2163,2096,1155,1875,2213,2363,1,0,0,0,29,1,"White"
"10635",50,3120,1,8976,37,1,3088,3477,2735,3179,0,4160,0,0,75,75,3622,0,0,3622,633,75,60,77,93,1,0,0,0,7,1,"White"
"10636",47,4126,1,9081,0,1,3897,4252,3786,4569,1,4186,0,0,3317,3317,3627,1127,2737,3897,3627,2885,3317,4150,2895,0,1,0,0,58,1,"Black"
"10637",47,878,0,9081,17,1,0,890,483,2136,0,1898,0,0,1216,1216,2286,1460,1460,890,2286,1552,0,1216,2961,0,1,0,1,148,1,"White"
"10638",46,7851,0,9067,0,1,10382,7841,7516,5663,1,4186,0,0,1259,0,6779,3703,3703,10382,6779,6266,1259,1894,0,1,0,0,0,170,1,"Black"
"10639",41,6613,1,9039,48,1,7955,8822,1229,8445,1,5434,0,0,2965,9950,7955,1672,1672,7955,7751,2965,9950,8525,9567,0,0,0,0,64,1,"Black"
"10640",36,7875,1,8990,48,1,9000,7500,7500,7500,1,5434,1,1,7576,7576,9000,627,627,9000,3462,7576,8884,8564,8331,0,1,0,1,29,1,"Black"
"10641",35,2325,0,9067,45,1,0,1193,3956,4151,1,5070,0,0,0,0,899,5070,5070,1193,899,0,0,0,0,1,0,1,0,182,0,"Black"
"10642",30,3605,1,9004,48,1,0,2781,5470,6170,1,5434,0,0,6893,7460,6948,1881,5434,6948,7798,6893,7460,0,5677,1,0,0,0,70,1,"Black"
"10643",32,3840,0,8976,47,1,4038,2926,4205,4190,1,5278,0,0,0,0,4250,5278,5278,4250,2497,0,0,0,0,1,0,1,0,182,0,"Black"
"10644",32,10522,1,9025,48,1,9241,11409,10259,11179,1,5434,0,0,8295,8295,11329,209,209,11329,9520,8295,9785,11113,10292,1,0,0,0,17,1,"White"
"10645",30,908,1,9046,0,1,0,0,2895,739,1,1768,0,0,3959,3959,1853,0,0,2895,1853,1422,3959,3809,5027,0,0,0,0,7,1,"Black"
"10646",48,3245,0,9032,0,1,3406,3082,3270,3222,0,3224,0,0,1837,0,2920,3224,3224,2920,3743,0,0,1837,0,0,0,0,0,182,0,"Black"
"10647",38,6948,0,9011,0,1,5778,6877,8769,6369,1,4186,0,0,800,0,1108,4186,4186,1108,0,800,0,0,21,1,0,1,0,182,0,"Black"
"10648",42,3193,1,9011,42,1,3489,4053,2859,2371,0,4732,0,0,3144,3144,5365,182,182,5365,3167,3144,4660,5772,5013,1,0,1,0,16,1,"Black"
"10649",37,1771,0,9060,28,1,344,2225,1836,2678,0,3094,0,0,0,0,0,3094,3094,344,0,0,0,0,0,0,0,0,0,182,0,"Black"
"10650",28,3542,0,9067,44,1,4584,3073,3234,3276,1,4914,0,0,3843,0,4798,4914,4914,4584,4798,2472,3843,154,0,0,0,0,0,182,0,"White"
"10651",22,1210,0,9053,0,1,0,2434,1970,434,1,2132,0,0,1184,1184,0,902,1804,2434,0,0,1184,1587,0,1,0,0,0,88,1,"White"
"10652",49,7459,0,9039,0,1,7644,7776,6562,7853,1,4186,0,0,4404,0,171,4186,4186,171,2293,4404,4003,0,0,1,0,1,0,182,0,"White"
"10653",46,2968,0,9067,0,1,2348,3025,2975,3526,0,3146,0,0,0,0,2839,3025,3146,2348,2839,938,0,0,0,0,1,0,1,182,0,"White"
"10654",44,3306,0,9081,0,1,3877,3593,3606,2149,0,3614,0,0,0,0,3614,3614,3614,3877,3614,5116,0,0,0,1,0,1,0,182,0,"Black"
"10655",42,3517,0,9004,48,1,0,4715,4224,5131,0,5434,0,0,4671,4671,6349,209,2299,6349,4425,4671,4479,5389,0,0,1,0,1,15,1,"Black"
"10656",43,779,0,8983,0,1,0,1482,1179,456,1,1326,0,0,0,0,563,1326,1326,563,536,0,0,0,0,0,0,0,0,182,0,"Black"
"10657",37,6056,0,9060,48,1,6192,6184,5913,5933,0,5434,0,0,982,0,5245,5434,5434,6192,5245,8331,982,0,0,0,1,0,1,182,0,"White"
"10658",32,1587,1,9074,36,1,0,0,3484,2863,0,4004,0,0,3600,3600,1929,462,462,3484,1929,849,3600,3808,0,0,0,0,0,29,1,"White"
"10659",33,814,0,9030,18,1,0,1651,1539,67,1,2028,0,0,0,0,1895,2028,2028,1895,0,0,0,0,0,1,0,1,0,182,0,"White"
"10660",32,3271,0,8983,0,1,2812,3601,3376,3297,0,3354,0,0,0,0,3222,3354,3354,3222,0,0,0,0,0,0,1,0,0,182,0,"White"
"10661",32,5248,0,9074,48,1,5010,5083,5806,5095,0,5434,0,0,2438,5825,5072,2926,2926,5010,5072,4450,2438,5825,5728,1,0,0,0,106,1,"White"
"10662",31,7125,0,8997,0,1,6923,8077,6923,6575,1,4186,0,0,5909,0,9808,4186,4186,9808,0,0,0,0,5909,1,0,0,0,182,0,"White"
"10663",30,2131,0,8990,43,1,0,4063,3689,772,1,4862,0,0,3394,2569,3559,2431,2431,3559,1916,3394,2569,880,276,0,1,0,1,99,1,"Black"
"10664",28,3637,0,8997,42,1,3607,3890,3592,3457,1,4706,0,0,0,0,3840,4706,4706,3840,1842,0,0,0,0,0,1,0,1,182,0,"White"
"10665",28,2952,0,9067,36,1,2858,2456,3004,3491,0,4056,0,0,1861,4016,1196,2028,2028,2858,1196,1313,1861,4016,3820,1,0,1,0,100,1,"White"
"10666",29,658,1,9053,0,1,0,929,1474,229,0,1326,0,0,1884,1884,1575,102,102,1398,1575,881,1884,1849,736,0,0,0,0,22,1,"White"
"10667",22,1705,0,8990,0,1,2250,2250,2250,70,0,2184,0,0,1546,3065,2638,1008,1008,2638,450,1546,3065,3027,3051,1,0,0,0,95,1,"Black"
"10668",49,3124,0,9039,0,1,6728,3161,151,2457,1,4186,0,0,2922,2922,6728,4186,4186,6728,1610,0,0,2922,0,0,1,0,1,182,0,"White"
"10669",44,5110,0,8983,0,1,5122,6428,5088,3801,1,4186,0,0,1344,1344,8057,4186,4186,8057,1512,0,0,0,1344,0,0,0,0,182,0,"Black"
"10670",46,3913,0,9074,47,1,4180,3233,4192,4046,0,5252,0,0,2234,2234,3590,4040,4040,4180,3590,2383,0,2234,0,0,1,0,1,162,1,"Black"
